gridNum,xAEAm,yAEAm,lon.DecDeg,lat.DecDeg,lon.Deg,lon.Min,lon.Sec,lat.Deg,lat.Min,lat.Sec,depth_m,blockID,s.id
328,3532307.103,2015638.539,-46.53065578,45.99524125,46,31,50.36080233,45,59,42.86848259,549,1,5.3
783,3528307.103,2011638.539,-46.6028196,45.99269552,46,36,10.15056173,45,59,33.70387632,545,2,5.3
784,3532307.103,2011638.539,-46.5649515,45.96828935,46,33,53.82541654,45,58,5.841667458,547,3,5.3
785,3536307.103,2011638.539,-46.52712203,45.94386616,46,31,37.63932053,45,56,37.9181658,640,4,5.3
1238,3524307.103,2007638.539,-46.67497566,45.9900946,46,40,29.91236286,45,59,24.34054811,694,5,5.3
1239,3528307.103,2007638.539,-46.63707283,45.9657172,46,38,13.46217008,45,57,56.58193758,596,6,5.3
1240,3532307.103,2007638.539,-46.59920861,45.94132276,46,35,57.15098155,45,56,28.76194529,552,7,5.3
1241,3536307.103,2007638.539,-46.56138296,45.91691129,46,33,40.97867148,45,55,0.880634855,654,8,5.3
1695,3528307.103,2003638.539,-46.67128744,45.93872422,46,40,16.63477414,45,56,19.4071835,702,9,5.3
1696,3532307.103,2003638.539,-46.63342713,45.91434149,46,38,0.337668104,45,54,51.62937018,668,10,5.3
2151,3528307.103,1999638.539,-46.70546348,45.91171657,46,42,19.66854503,45,54,42.17966804,737,11,5.3
7151,3464307.103,1955638.539,-47.68902935,45.99921364,47,41,20.50567534,45,59,57.16908882,445,12,5.3
7152,3468307.103,1955638.539,-47.65060675,45.97524704,47,39,2.184303028,45,58,30.88934654,718,13,5.3
7606,3460307.103,1951638.539,-47.76112611,45.99578258,47,45,40.05398393,45,59,44.81727809,282,14,5.3
7607,3464307.103,1951638.539,-47.72267015,45.9718451,47,43,21.61254758,45,58,18.64234927,453,15,5.3
7608,3468307.103,1951638.539,-47.68425267,45.94789019,47,41,3.309622544,45,56,52.40467261,709,16,5.3
8061,3456307.103,1947638.539,-47.83321243,45.99229641,47,49,59.56474875,45,59,32.26707737,204,17,5.2
8062,3460307.103,1947638.539,-47.79472322,45.96838806,47,47,41.00360306,45,58,6.197033473,265,18,5.3
8063,3464307.103,1947638.539,-47.75627247,45.94446226,47,45,22.58090848,45,56,40.06415395,432,19,5.3
8064,3468307.103,1947638.539,-47.71786015,45.92051903,47,43,4.296548155,45,55,13.86850364,631,20,5.3
8065,3472307.103,1947638.539,-47.67948622,45.89655837,47,40,46.15040513,45,53,47.61014726,717,21,5.3
8516,3452307.103,1943638.539,-47.90528816,45.98875515,47,54,19.03738038,45,59,19.51852363,163,22,5.2
8517,3456307.103,1943638.539,-47.8667658,45.96487595,47,52,0.356880748,45,57,53.55343576,171,23,5.2
8518,3460307.103,1943638.539,-47.82828188,45.94097928,47,49,41.81477107,45,56,27.52542457,198,24,5.2
8519,3464307.103,1943638.539,-47.78983637,45.91706515,47,47,23.41093509,45,55,1.434554958,323,25,5.3
8520,3468307.103,1943638.539,-47.75142924,45.89313358,47,45,5.145256451,45,53,35.28089172,580,26,5.3
8971,3448307.103,1939638.539,-47.97735314,45.98515879,47,58,38.47128996,45,59,6.57165438,128,27,5.1
8972,3452307.103,1939638.539,-47.93879772,45.96130878,47,56,19.67179243,45,57,40.71159329,138,28,5.2
8973,3456307.103,1939638.539,-47.90028073,45.93744126,47,54,1.010622773,45,56,14.78852128,164,29,5.2
8974,3460307.103,1939638.539,-47.86180213,45.91355625,47,51,42.48766534,45,54,48.80250332,265,30,5.3
8975,3464307.103,1939638.539,-47.82336189,45.88965378,47,49,24.10280435,45,53,22.75360426,433,31,5.3
8976,3468307.103,1939638.539,-47.78495998,45.86573386,47,47,5.855923895,45,51,56.6418888,725,32,5.3
9426,3444307.103,1935638.539,-48.04940719,45.98150736,48,2,57.86588913,45,58,53.42650773,127,33,5.1
9427,3448307.103,1935638.539,-48.01081882,45.95768654,48,0,38.94775043,45,57,27.67154381,182,34,5.2
9428,3452307.103,1935638.539,-47.97226885,45.93384819,47,58,20.16787659,45,56,1.853481485,227,35,5.2
9429,3456307.103,1935638.539,-47.93375726,45.90999233,47,56,1.526152553,45,54,35.97238577,245,36,5.2
9430,3460307.103,1935638.539,-47.89528402,45.88611898,47,53,43.02246315,45,53,10.02832157,298,37,5.3
9431,3464307.103,1935638.539,-47.85684908,45.86222815,47,51,24.65669305,45,51,44.02135366,461,38,5.3
9432,3468307.103,1935638.539,-47.81845242,45.83831987,47,49,6.428726823,45,50,17.95154669,697,39,5.3
9881,3440307.103,1931638.539,-48.12145016,45.97780087,48,7,17.22059009,45,58,40.08312233,119,40,5.1
9882,3444307.103,1931638.539,-48.08282894,45.95400926,48,4,58.1841676,45,57,14.43332564,128,41,5.1
9883,3448307.103,1931638.539,-48.0442461,45.9302001,48,2,39.28594602,45,55,48.72034313,199,42,5.2
9884,3452307.103,1931638.539,-48.00570161,45.9063734,48,0,20.52581091,45,54,22.9442399,297,43,5.3
9885,3456307.103,1931638.539,-47.96719546,45.88252919,47,58,1.903647683,45,52,57.1050809,321,44,5.3
9886,3460307.103,1931638.539,-47.92872759,45.85866748,47,55,43.41934162,45,51,31.20293097,314,45,5.3
9887,3464307.103,1931638.539,-47.89029799,45.83478829,47,53,25.07277787,45,50,5.237854825,467,46,5.3
9888,3468307.103,1931638.539,-47.85190662,45.81089164,47,51,6.863841442,45,48,39.20991705,676,47,5.3
10335,3432307.103,1927638.539,-48.23217428,45.9977841,48,13,55.82740358,45,59,52.02275884,105,48,5.1
10336,3436307.103,1927638.539,-48.19348189,45.97403932,48,11,36.53480557,45,58,26.54153743,110,49,5.1
10337,3440307.103,1927638.539,-48.1548279,45.95027694,48,9,17.38045732,45,57,0.996977644,115,50,5.1
10338,3444307.103,1927638.539,-48.11621229,45.92649698,48,6,58.36424512,45,55,35.38914475,128,51,5.1
10339,3448307.103,1927638.539,-48.07763502,45.90269947,48,4,39.48605512,45,54,9.718103887,165,52,5.2
10340,3452307.103,1927638.539,-48.03909605,45.87888442,48,2,20.74577333,45,52,43.98392008,198,53,5.2
10341,3456307.103,1927638.539,-48.00059536,45.85505185,48,0,2.143285627,45,51,18.18665821,222,54,5.2
10342,3460307.103,1927638.539,-47.96213291,45.83120177,47,57,43.67847776,45,49,52.32638307,310,55,5.3
10343,3464307.103,1927638.539,-47.92370868,45.80733421,47,55,25.35123534,45,48,26.40315928,460,56,5.3
10344,3468307.103,1927638.539,-47.88532262,45.78344918,47,53,7.16144383,45,47,0.417051382,613,57,5.3
10790,3428307.103,1923638.539,-48.30422724,45.99393823,48,18,15.21804756,45,59,38.17762074,100,58,5.1
10791,3432307.103,1923638.539,-48.26550221,45.97022272,48,15,55.80794888,45,58,12.80179282,105,59,5.1
10792,3436307.103,1923638.539,-48.22681556,45.94648959,48,13,36.53603356,45,56,47.36253928,110,60,5.1
10793,3440307.103,1923638.539,-48.18816727,45.92273887,48,11,17.40218849,45,55,21.85992543,111,61,5.1
10794,3444307.103,1923638.539,-48.14955731,45.89897056,48,8,58.40630043,45,53,56.29401647,123,62,5.1
10795,3448307.103,1923638.539,-48.11098563,45.87518469,48,6,39.54825598,45,52,30.66487748,142,63,5.2
10796,3452307.103,1923638.539,-48.07245221,45.85138127,48,4,20.82794163,45,51,4.972573413,163,64,5.2
10797,3456307.103,1923638.539,-48.03395701,45.82756032,48,2,2.245243715,45,49,39.2171691,217,65,5.2
10798,3460307.103,1923638.539,-47.99550001,45.80372187,47,59,43.80004844,45,48,13.39872923,327,66,5.3
10799,3464307.103,1923638.539,-47.95708118,45.77986592,47,57,25.49224187,45,46,47.5173184,513,67,5.3
10800,3468307.103,1923638.539,-47.91870047,45.7559925,47,55,7.321709936,45,45,21.57300107,741,68,5.3
11245,3424307.103,1919638.539,-48.37626852,45.9900373,48,22,34.56667297,45,59,24.13429442,97,69,5.1
11246,3428307.103,1919638.539,-48.33751095,45.96635109,48,20,15.03943388,45,57,58.86392887,100,70,5.1
